"HCPCS Code","Modifier","Short Description","Mac Locality","Non-Facility Price","Facility Price","Non-Facility Limiting Charge","Facility Limiting Charge","GPCI Work","GPCI PE","GPCI MP","Proc Stat","Work RVU","NA Flag for Trans Non-FAC PE RVU","Transitioned Non-FAC PE RVU","NA Flag for Fully IMP Non-FAC PE RVU","Fully Implemented Non-FAC PE RVU","NA Flag for Trans facility PE RVU","Transitioned Facility PE RVU","NA Flag for Fully IMP FAC PE RVU","Fully Implemented Facility PE RVU","MP RVU","Transitioned Non-FAC Total","Transitioned Facility Total","Fully Implemented Non-Fac Total","Fully Implemented Facility Total","PCTC","Global","Pre Op","Intra Op","Post Op","Mult Surg","Bilt Surg","Asst Surg","Co Surg","Team Surg","Phys Supv","Endobase","Conv Fact","Not Used for Medicare","Diag Imaging Family Ind","Opps Non-Facility Payment Amount","Opps Facility Payment Amount","Non-Fac PE Used For Opps PMT AMT","Facility PE Used For Opps PMT AMT","Malpractice Used For Opps PMT AMT"
"95970","  ","Alys npgt w/o prgrmg","0000000","$18.98","$18.64","$20.73","$20.36","1.000","1.000","1.000","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111205","$21.36","$20.90","$23.34","$22.83","1.082","1.374","0.452","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111206","$21.36","$20.90","$23.34","$22.83","1.082","1.374","0.452","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111207","$21.36","$20.90","$23.34","$22.83","1.082","1.374","0.452","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111209","$21.71","$21.23","$23.71","$23.19","1.098","1.409","0.417","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111251","$20.45","$20.02","$22.34","$21.87","1.051","1.265","0.513","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111252","$21.41","$20.94","$23.39","$22.88","1.082","1.374","0.487","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111253","$20.41","$19.98","$22.30","$21.83","1.051","1.265","0.487","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111254","$19.34","$18.97","$21.13","$20.73","1.027","1.079","0.694","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111255","$19.11","$18.74","$20.88","$20.48","1.021","1.079","0.579","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
