"HCPCS Code","Modifier","Short Description","Mac Locality","Non-Facility Price","Facility Price","Non-Facility Limiting Charge","Facility Limiting Charge","GPCI Work","GPCI PE","GPCI MP","Proc Stat","Work RVU","NA Flag for Trans Non-FAC PE RVU","Transitioned Non-FAC PE RVU","NA Flag for Fully IMP Non-FAC PE RVU","Fully Implemented Non-FAC PE RVU","NA Flag for Trans facility PE RVU","Transitioned Facility PE RVU","NA Flag for Fully IMP FAC PE RVU","Fully Implemented Facility PE RVU","MP RVU","Transitioned Non-FAC Total","Transitioned Facility Total","Fully Implemented Non-Fac Total","Fully Implemented Facility Total","PCTC","Global","Pre Op","Intra Op","Post Op","Mult Surg","Bilt Surg","Asst Surg","Co Surg","Team Surg","Phys Supv","Endobase","Conv Fact","Not Used for Medicare","Diag Imaging Family Ind","Opps Non-Facility Payment Amount","Opps Facility Payment Amount","Non-Fac PE Used For Opps PMT AMT","Facility PE Used For Opps PMT AMT","Malpractice Used For Opps PMT AMT"
"95970","  ","Alys npgt w/o prgrmg","0000000","$18.64","$17.98","$20.37","$19.64","1.000","1.000","1.000","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111205","$21.62","$20.68","$23.62","$22.59","1.088","1.419","0.445","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111209","$21.83","$20.88","$23.85","$22.81","1.100","1.435","0.420","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111251","$20.70","$19.82","$22.61","$21.66","1.058","1.310","0.521","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111252","$21.65","$20.70","$23.65","$22.62","1.088","1.419","0.470","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111253","$20.64","$19.77","$22.55","$21.60","1.058","1.310","0.470","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111254","$19.06","$18.33","$20.82","$20.03","1.017","1.093","0.662","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111255","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111256","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111257","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111258","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111259","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111260","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111261","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111262","$19.25","$18.53","$21.03","$20.24","1.014","1.093","0.892","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111263","$19.53","$18.76","$21.34","$20.50","1.034","1.156","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111264","$19.60","$18.82","$21.41","$20.56","1.035","1.165","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111265","$21.97","$21.02","$24.01","$22.96","1.100","1.435","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111266","$19.65","$18.85","$21.47","$20.59","1.017","1.209","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111267","$19.91","$19.09","$21.75","$20.85","1.027","1.232","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111268","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111269","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111270","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0111275","$18.92","$18.19","$20.67","$19.88","1.014","1.093","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118217","$19.69","$18.90","$21.51","$20.65","1.026","1.183","0.651","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118218","$19.98","$19.19","$21.83","$20.96","1.042","1.194","0.690","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118271","$18.93","$18.20","$20.68","$19.89","1.014","1.093","0.570","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118272","$19.68","$18.89","$21.51","$20.64","1.028","1.191","0.572","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0118273","$19.16","$18.40","$20.93","$20.10","1.014","1.132","0.560","A","0.35","","0.18","","0.18","","0.16","","0.16","0.03","0.56","0.54","0.56","0.54","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.2875","","99","NA","NA","0.00","0.00","0.00"
